"filename", "language", "C++", "C", "nasm", "comment", "blank", "total"
"/home/blankheart0/PJDCc/CodeGenerator.cpp", "C++", 8, 0, 0, 0, 1, 9
"/home/blankheart0/PJDCc/CodeGenerator.h", "C++", 2, 0, 0, 0, 0, 2
"/home/blankheart0/PJDCc/Register.cpp", "C++", 2, 0, 0, 0, 1, 3
"/home/blankheart0/PJDCc/Scanner.cpp", "C++", 13, 0, 0, 1, 1, 15
"/home/blankheart0/PJDCc/test/CodeGen_Test/If.asm", "nasm", 0, 0, 59, 0, 0, 59
"/home/blankheart0/PJDCc/test/CodeGen_Test/If.c", "C", 0, 5, 0, 0, 1, 6
"Total", "-", 25, 5, 59, 1, 4, 94
